ID,Phylum,Class,Family,Genus,species nov.,Strain,Clonal,Axenic,PCR,Principle Investigator
MMETSP0324,Dinophyta,Dinophyceae,Crypthecodiniacea,Crypthecodinium,cohnii,WH (Provasly/Seligo),Yes,Yes,No,Philippe Deschamps
MMETSP0325,Dinophyta,Dinophyceae,Crypthecodiniacea,Crypthecodinium,cohnii,WH (Provasly/Seligo),Yes,Yes,No,Philippe Deschamps
MMETSP0326,Dinophyta,Dinophyceae,Crypthecodiniacea,Crypthecodinium,cohnii,WH (Provasly/Seligo),Yes,Yes,No,Philippe Deschamps
MMETSP0327,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Pseudo-nitzschia,delicatissima,B596,Yes,No,No,Marina Montresor
MMETSP0328,Dinophyta,Dinophyceae,Goniodomataceae,Alexandrium,minutum,CCMP113,Yes,No,Yes,Kjetill Sigurd Jakobsen
MMETSP0329,Bacillariophyta,Bacillariophyceae,Bacillariaceae,Pseudo-nitzschia,arenysensis,B593,Yes,No,No,Marina Montresor
MMETSP0347,Dinophyta,Dinophyceae,Goniodomataceae,Alexandrium,fundyense,CCMP1719,Yes,No,Yes,Kjetill Sigurd Jakobsen
MMETSP0367,Dinophyta,Dinophyceae,Peridiniaceae,Scrippsiella,aff. hangoei,SHHI-4,Yes,No,No,Karin Rengefors
MMETSP0368,Dinophyta,Dinophyceae,Peridiniaceae,Scrippsiella,aff. hangoei,SHHI-4,Yes,No,No,Karin Rengefors
MMETSP0369,Dinophyta,Dinophyceae,Peridiniaceae,Scrippsiella,aff. hangoei,SHHI-4,Yes,No,No,Karin Rengefors
MMETSP0370,Dinophyta,Dinophyceae,Peridiniaceae,Peridinium,aciculiferum,PAER-2,Yes,No,No,Karin Rengefors
MMETSP0371,Dinophyta,Dinophyceae,Peridiniaceae,Peridinium,aciculiferum,PAER-2,Yes,No,No,Karin Rengefors
MMETSP0372,Apicomplexa,Gregarinia,Lecudinidae,Lankesteria,abbottii,Grappler Inlet BC,No,No,Yes,Claudio Slamovits
MMETSP0378,Dinophyta,Dinophyceae,Goniodomataceae,Alexandrium,tamarense,CCMP1771,Yes,Yes,No,Mary Ann Moran
MMETSP0380,Dinophyta,Dinophyceae,Goniodomataceae,Alexandrium,tamarense,CCMP1771,Yes,Yes,No,Mary Ann Moran
MMETSP0382,Dinophyta,Dinophyceae,Goniodomataceae,Alexandrium,tamarense,CCMP1771,Yes,Yes,No,Mary Ann Moran
MMETSP0384,Dinophyta,Dinophyceae,Goniodomataceae,Alexandrium,tamarense,CCMP1771,Yes,Yes,No,Mary Ann Moran
MMETSP0397,Bacillariophyta,Bacillariophyceae,Cyclophoraceae,Cyclophora,tenuis,ECT3854,Unknown,No,No,Matt Ashworth
MMETSP0398,Dinophyta,Dinophyceae,Gymnodiniaceae,Amphidinium,carterae,CCMP1314,Yes,No,Yes,Senjie Lin
MMETSP0403,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,rotula,CCMP3096,Yes,Yes,No,Bethany Jenkins
MMETSP0404,Bacillariophyta,Coscinodiscophyceae,Skeletonemaceae,Thalassiosira,rotula,CCMP3096,Yes,Yes,No,Bethany Jenkins
MMETSP0405,Unknown,Lobosa,Trichosidae,Trichosphaerium,sp,Am-I-7 wt,No,No,No,Laura Katz
MMETSP0409,Ochrophyta,Raphidophyceae,Chattonellaceae,Heterosigma,akashiwo,CCMP3107,Yes,No,No,Susanne Menden-Deuer
MMETSP0410,Ochrophyta,Raphidophyceae,Chattonellaceae,Heterosigma,akashiwo,CCMP3107,Yes,No,No,Susanne Menden-Deuer
MMETSP0411,Ochrophyta,Raphidophyceae,Chattonellaceae,Heterosigma,akashiwo,CCMP3107,Yes,No,No,"Susanne Menden-Deuer, Leo Tolstoy"
MMETSP0413,Unknown,Lobosa,Echinamoebidae,Filamoeba,nolandi,NC-AS-23-1,No,No,No,Laura Katz
MMETSP0414,Ochrophyta,Raphidophyceae,Chattonellaceae,Heterosigma,akashiwo,NB,Yes,No,No,Susanne Menden-Deuer
MMETSP0415,Ochrophyta,Raphidophyceae,Chattonellaceae,Heterosigma,akashiwo,NB,Yes,No,No,Susanne Menden-Deuer
MMETSP0416,Ochrophyta,Raphidophyceae,Chattonellaceae,Heterosigma,akashiwo,NB,Yes,No,No,Susanne Menden-Deuer
MMETSP0417,Unknown,Lobosa,Paramoebidae,Mayorella,sp,BSH-02190019,No,No,No,Laura Katz
